Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
Sub-Saharan Africa,Chad,Office Supplies,Online,L,1/27/11,292494523,2/12/11,4484,651.21,524.96
Europe,Latvia,Beverages,Online,C,12/28/15,361825549,1/23/16,1075,47.45,31.79
Middle East and North Africa,Pakistan,Vegetables,Offline,C,1/13/11,141515767,2/1/11,6515,154.06,90.93
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,C,9/11/12,500364005,10/6/12,7683,668.27,502.54
Europe,Czech Republic,Beverages,Online,C,10/27/15,127481591,12/5/15,3491,47.45,31.79
Sub-Saharan Africa,South Africa,Beverages,Offline,H,7/10/12,482292354,8/21/12,9880,47.45,31.79
Asia,Laos,Vegetables,Online,L,2/20/11,844532620,3/20/11,4825,154.06,90.93
Asia,China,Baby Food,Online,C,4/10/17,564251220,5/12/17,3330,255.28,159.42
Sub-Saharan Africa,Eritrea,Meat,Online,L,11/21/14,411809480,1/10/15,2431,421.89,364.69
Central America and the Caribbean,Haiti,Office Supplies,Online,C,7/4/15,327881228,7/20/15,6197,651.21,524.96
Sub-Saharan Africa,Zambia,Cereal,Offline,M,7/26/16,773452794,8/24/16,724,205.7,117.11
Europe,Bosnia and Herzegovina,Baby Food,Offline,M,10/20/12,479823005,11/15/12,9145,255.28,159.42
Europe,Germany,Office Supplies,Online,C,2/22/15,498603188,2/27/15,6618,651.21,524.96
Asia,India,Household,Online,C,8/27/16,151717174,9/2/16,5338,668.27,502.54
Middle East and North Africa,Algeria,Clothes,Offline,C,6/21/11,181401288,7/21/11,9527,109.28,35.84
Australia and Oceania,Palau,Snacks,Offline,L,9/19/13,500204360,10/4/13,441,152.58,97.44
Central America and the Caribbean,Cuba,Beverages,Online,H,11/15/15,640987718,11/30/15,1365,47.45,31.79
Europe,Vatican City,Beverages,Online,L,4/6/15,206925189,4/27/15,2617,47.45,31.79
Middle East and North Africa,Lebanon,Personal Care,Offline,H,4/12/10,221503102,5/19/10,6545,81.73,56.67
Europe,Lithuania,Snacks,Offline,H,9/26/11,878520286,10/2/11,2530,152.58,97.44
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,H,5/14/16,192088067,6/18/16,1983,437.2,263.33
Europe,Ukraine,Office Supplies,Online,C,8/14/10,746630275,8/31/10,3345,651.21,524.96
Europe,Russia,Snacks,Offline,L,4/13/12,246883237,4/22/12,7091,152.58,97.44
Asia,Japan,Cosmetics,Offline,H,9/19/13,967895781,9/28/13,725,437.2,263.33
Europe,Russia,Meat,Offline,L,12/2/15,305029237,12/26/15,3784,421.89,364.69
Europe,Liechtenstein,Vegetables,Offline,L,2/26/17,223957431,2/28/17,2835,154.06,90.93
Europe,Greece,Clothes,Online,C,10/9/16,510666692,10/13/16,6477,109.28,35.84
Europe,Albania,Baby Food,Offline,C,5/20/11,121455848,6/19/11,339,255.28,159.42
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,M,10/24/13,332936227,12/3/13,2083,255.28,159.42
Central America and the Caribbean,Dominica,Beverages,Offline,H,6/14/11,692031657,7/20/11,6401,47.45,31.79
Europe,Andorra,Office Supplies,Online,M,6/20/15,365978467,7/21/15,16,651.21,524.96
Europe,Switzerland,Personal Care,Online,M,8/5/11,392325484,9/1/11,6684,81.73,56.67
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,L,11/30/16,528934037,1/9/17,2191,255.28,159.42
Europe,San Marino,Vegetables,Online,H,7/5/15,603977954,7/29/15,9353,154.06,90.93
Central America and the Caribbean,Nicaragua,Fruits,Online,L,3/25/15,965943562,5/9/15,3020,9.33,6.92
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,8/22/13,233629691,8/30/13,5072,437.2,263.33
Asia,Bangladesh,Personal Care,Online,L,12/11/16,246147668,1/13/17,9420,81.73,56.67
Europe,Serbia,Beverages,Online,H,6/23/13,212921321,7/18/13,7005,47.45,31.79
Sub-Saharan Africa,Mauritius ,Fruits,Offline,H,5/8/15,763686978,5/13/15,803,9.33,6.92
Central America and the Caribbean,Jamaica,Baby Food,Offline,H,10/24/16,798493468,11/24/16,816,255.28,159.42
Europe,Italy,Cereal,Offline,H,3/10/13,637702119,4/4/13,9083,205.7,117.11
Asia,Bhutan,Clothes,Offline,L,3/18/12,671986758,5/4/12,4670,109.28,35.84
Middle East and North Africa,Turkey,Clothes,Online,L,2/11/15,912333714,3/2/15,8675,109.28,35.84
Europe,Bulgaria,Cosmetics,Offline,L,10/30/12,540041816,11/3/12,9229,437.2,263.33
Middle East and North Africa,Pakistan,Household,Offline,M,7/6/12,156722390,8/1/12,6493,668.27,502.54
Europe,Poland,Cereal,Offline,C,1/4/11,434299266,2/21/11,7659,205.7,117.11
Europe,France,Baby Food,Offline,M,10/25/13,765008771,12/10/13,1950,255.28,159.42
Central America and the Caribbean,Jamaica,Baby Food,Offline,C,2/16/16,611399734,3/22/16,5623,255.28,159.42
Australia and Oceania,Australia,Personal Care,Online,H,3/16/14,856333482,4/27/14,6962,81.73,56.67
Middle East and North Africa,Somalia,Fruits,Offline,C,9/24/16,652983844,10/29/16,1285,9.33,6.92
Europe,Slovenia,Cosmetics,Online,M,9/30/10,574837148,11/11/10,5941,437.2,263.33
Australia and Oceania,Samoa ,Clothes,Offline,C,11/5/10,365692222,12/5/10,5310,109.28,35.84
Sub-Saharan Africa,South Africa,Cereal,Online,M,7/21/17,289660394,8/22/17,5802,205.7,117.11
Sub-Saharan Africa,Ghana,Vegetables,Online,L,7/10/13,681165492,7/26/13,861,154.06,90.93
Asia,Sri Lanka,Office Supplies,Offline,M,10/6/12,594943845,10/21/12,5959,651.21,524.96
Sub-Saharan Africa,Guinea,Meat,Online,C,6/4/11,956044280,7/24/11,3603,421.89,364.69
Europe,Spain,Fruits,Offline,L,4/12/14,509828126,4/15/14,8327,9.33,6.92
Europe,Moldova ,Personal Care,Online,M,10/26/15,771969211,12/15/15,1699,81.73,56.67
Central America and the Caribbean,Dominican Republic,Cereal,Online,L,8/4/11,178453862,8/27/11,7318,205.7,117.11
Europe,Luxembourg,Personal Care,Online,L,2/24/17,835580909,4/14/17,5814,81.73,56.67
Middle East and North Africa,Kuwait,Office Supplies,Offline,L,3/30/11,869961678,4/12/11,9848,651.21,524.96
Central America and the Caribbean,Saint Lucia,Fruits,Online,C,5/2/15,278519999,6/14/15,9112,9.33,6.92
